,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
556,Asia,,2015-01-04,0,2015-01
557,Asia,,2015-01-05,0,2015-01
558,Asia,,2015-01-06,0,2015-01
559,Asia,,2015-01-07,0,2015-01
560,Asia,,2015-01-08,0,2015-01
561,Asia,,2015-01-09,0,2015-01
562,Asia,,2015-01-10,1,2015-01
563,Asia,,2015-01-11,0,2015-01
564,Asia,,2015-01-12,1,2015-01
565,Asia,,2016-01-01,0,2016-01
566,Asia,,2016-01-02,0,2016-01
567,Asia,,2016-01-03,0,2016-01
568,Asia,,2016-01-04,0,2016-01
569,Asia,,2016-01-05,0,2016-01
570,Asia,,2016-01-06,0,2016-01
571,Asia,,2016-01-07,0,2016-01
572,Asia,,2016-01-08,0,2016-01
573,Asia,,2016-01-09,0,2016-01
574,Asia,,2016-01-10,0,2016-01
575,Asia,,2016-01-11,0,2016-01
576,Asia,,2016-01-12,0,2016-01
577,Asia,,2017-01-01,0,2017-01
578,Asia,,2017-01-02,0,2017-01
579,Asia,,2017-01-03,0,2017-01
580,Asia,,2017-01-04,0,2017-01
581,Asia,,2017-01-05,0,2017-01
582,Asia,,2017-01-06,0,2017-01
583,Asia,,2017-01-07,0,2017-01
584,Asia,,2017-01-08,0,2017-01
585,Asia,,2017-01-09,1,2017-01
586,Asia,,2017-01-10,0,2017-01
587,Asia,,2017-01-11,0,2017-01
588,Asia,,2017-01-12,0,2017-01
589,Asia,,2018-01-01,0,2018-01
590,Asia,,2018-01-02,0,2018-01
591,Asia,,2018-01-03,0,2018-01
592,Asia,,2018-01-04,0,2018-01
593,Asia,,2018-01-05,0,2018-01
594,Asia,,2018-01-06,0,2018-01
595,Asia,,2018-01-07,0,2018-01
596,Asia,,2018-01-08,0,2018-01
597,Asia,,2018-01-09,0,2018-01
598,Asia,,2018-01-10,0,2018-01
599,Asia,,2018-01-11,0,2018-01
600,Asia,,2018-01-12,0,2018-01
601,Asia,,2019-01-01,0,2019-01
602,Asia,,2019-01-02,0,2019-01
603,Asia,,2019-01-03,1,2019-01
604,Asia,,2019-01-04,0,2019-01
605,Asia,,2019-01-05,0,2019-01
606,Asia,,2019-01-06,0,2019-01
607,Asia,,2019-01-07,0,2019-01
608,Asia,,2019-01-08,0,2019-01
609,Asia,,2019-01-09,0,2019-01
610,Asia,,2019-01-10,0,2019-01
611,Asia,,2019-01-11,0,2019-01
612,Asia,,2019-01-12,0,2019-01
613,Asia,,2020-01-01,0,2020-01
614,Asia,,2020-01-02,0,2020-01
615,Asia,,2020-01-03,0,2020-01
616,Asia,,2020-01-04,0,2020-01
617,Asia,,2020-01-05,0,2020-01
618,Asia,,2020-01-06,0,2020-01
619,Asia,,2020-01-07,0,2020-01
620,Asia,,2020-01-08,0,2020-01
