,date,price_per_dozen,disaster_deaths_adjusted,disaster_cost_adjusted,disaster_cost_unadjusted,human_outbreaks_per_million,human_illnesses_per_million,covid_hospitalization_per_million,temp_overall,infected_flock_cnt,infected_bird_cnt,infected_h5n1_people_cnt,gas_price_per_gallon,change_in_price_per_dozen
272,2002-09,1.0549999475479126,7.333333333333334,7.806157580191775,7.250754675474393,0.3158296548705897,8.152569882318849,0.0,69.03333333333332,0.0,0.0,0.0,1.507,0.001999974250793457
273,2002-10,1.0390000343322754,2.333333333333333,6.119586273427546,5.557476158521446,0.3918440879627533,6.886746537115292,0.0,50.13010752688172,0.0,0.0,0.0,1.535,-0.015999913215637207
274,2002-11,1.0800000429153442,30.33333333333333,7.442771882795092,6.886703141084718,0.4365753313992809,10.86933979840908,0.0,38.75333333333333,0.0,0.0,0.0,1.534,0.04100000858306885
275,2002-12,1.1759999990463257,0.0,0.0,0.0,0.4155124829368901,9.06163473204868,0.0,31.51075268817204,0.0,0.0,0.0,1.477,0.09599995613098145
276,2003-01,1.1749999523162842,0.0,0.0,0.0,0.2975778546712803,8.657439446366782,0.0,22.12258064516129,0.0,0.0,18.0,1.557,-0.001000046730041504
277,2003-02,1.1890000104904177,0.0,0.0,0.0,0.3078200065609678,5.831286865862828,0.0,23.21904761904762,0.0,0.0,0.0,1.686,0.014000058174133523
278,2003-03,1.2089999914169312,0.4320987654320987,4.689431857018748,4.1422917678925,0.3629952169505802,6.333402261461552,0.0,38.84623655913979,0.0,0.0,0.0,1.791,0.01999998092651345
279,2003-04,1.13100004196167,3.432098765432099,8.177457213477444,7.634940034962272,0.2522460315811596,5.929509454702328,0.0,50.59222222222223,0.0,0.0,0.0,1.704,-0.07799994945526123
280,2003-05,1.008999943733215,51.4320987654321,8.883181407662523,8.34077739762345,0.3591780500241674,9.141772100134338,0.0,59.00752688172042,0.0,0.0,0.0,1.587,-0.12200009822845481
281,2003-06,1.1990000009536743,0.4320987654320987,4.689431857018748,4.1422917678925,0.4209509244250339,9.76468127969546,0.0,67.11444444444444,0.0,0.0,0.0,1.558,0.1900000572204592
282,2003-07,1.149999976158142,14.432098765432098,8.107416191762953,7.56488500045602,0.3240150451425809,9.217193943736822,0.0,74.13655913978495,0.0,0.0,0.0,1.567,-0.04900002479553223
283,2003-08,1.2769999504089355,0.4320987654320987,4.689431857018748,4.1422917678925,0.334033524249908,9.149763648783564,0.0,75.16129032258064,0.0,0.0,0.0,1.671,0.12699997425079346
284,2003-09,1.256999969482422,57.876543209876544,9.22685793494873,8.696044328565325,0.2614738837213722,4.379687552332984,0.0,63.19888888888889,0.0,0.0,0.0,1.771,-0.01999998092651345
285,2003-10,1.3300000429153442,2.876543209876543,6.737734078232115,6.204989127714305,0.3609239486924552,6.2285161431498,0.0,53.47956989247312,0.0,0.0,0.0,1.646,0.07300007343292214
286,2003-11,1.4479999542236328,2.876543209876543,6.737734078232115,6.204989127714305,0.3400192291345391,8.551998793383861,0.0,43.22222222222223,0.0,0.0,0.0,1.578,0.11799991130828857
287,2003-12,1.559000015258789,0.0,0.0,0.0,0.2642778825894359,3.871499370920568,0.0,31.7989247311828,0.0,0.0,0.0,1.538,0.11100006103515625
288,2004-01,1.5729999542236328,0.0,0.0,0.0,0.3875836210984235,11.07528772147619,0.0,21.28172043010753,0.0,0.0,135.0,1.635,0.01399993896484375
289,2004-02,1.5829999446868896,0.0,0.0,0.0,0.5141916885106423,11.257370033792997,0.0,27.828735632183907,0.0,0.0,0.0,1.715,0.009999990463256836
290,2004-03,1.625,0.0,0.0,0.0,0.4556510785755718,10.637568413362034,0.0,42.313978494623655,0.0,0.0,0.0,1.809,0.04200005531311035
291,2004-04,1.562000036239624,0.0,0.0,0.0,0.431344378208624,6.997364357606568,0.0,51.99222222222222,0.0,0.0,0.0,1.875,-0.06299996376037598
292,2004-05,1.371999979019165,4.0,7.435024983983115,6.922545388510406,0.4138874550156711,5.2642379609018,0.0,62.982795698924726,0.0,0.0,0.0,2.05,-0.19000005722045898
293,2004-06,1.3109999895095823,0.0,7.051595806671393,6.54534966033442,0.406740257104096,11.207573975162443,0.0,67.83333333333334,0.0,0.0,0.0,2.083,-0.06099998950958274
294,2004-07,1.253000020980835,0.0,0.0,0.0,0.2937058185070702,11.901916017408602,0.0,71.38494623655913,0.0,0.0,0.0,1.982,-0.05799996852874734
295,2004-08,1.2769999504089355,35.0,10.18716910426819,9.680375250733649,0.3071043497910547,7.135057726812171,0.0,68.39139784946236,0.0,0.0,0.0,1.941,0.023999929428100586
296,2004-09,1.1449999809265137,133.0,11.046826203750207,10.540011470154983,0.2795676952116816,5.577716455686721,0.0,67.43,0.0,0.0,0.0,1.934,-0.13199996948242188
297,2004-10,1.0889999866485596,0.0,0.0,0.0,0.2759137445213999,5.749906182124977,0.0,55.19462365591398,0.0,0.0,0.0,2.072,-0.0559999942779541
298,2004-11,1.0850000381469729,0.0,0.0,0.0,0.401633781153016,9.087815217614857,0.0,44.18,0.0,0.0,0.0,2.053,-0.003999948501586692
299,2004-12,1.1990000009536743,0.0,0.0,0.0,0.5543840762214998,14.740494394748344,0.0,30.656989247311827,0.0,0.0,0.0,1.926,0.11399996280670144
300,2005-01,1.2109999656677246,0.0,0.0,0.0,0.2718961255237737,4.785371809218418,0.0,24.51612903225806,0.0,0.0,300.0,1.866,0.011999964714050293
301,2005-02,1.284000039100647,0.0,0.0,0.0,0.2479787987946396,4.032203207797771,0.0,32.51071428571429,0.0,0.0,0.0,1.96,0.07300007343292236
302,2005-03,1.131999969482422,0.0,7.298850974957623,6.810105699740846,0.3021455755623985,7.34655084850596,0.0,36.13225806451613,0.0,0.0,0.0,2.107,-0.15200006961822488
303,2005-04,1.1640000343322754,0.0,4.228292574275186,3.736875684701575,0.3087047980759784,9.247574500605683,0.0,52.83555555555555,0.0,0.0,0.0,2.325,0.032000064849853294
304,2005-05,1.184999942779541,0.0,4.228292574275186,3.736875684701575,0.3864013845089699,11.015828944334666,0.0,59.75806451612903,0.0,0.0,0.0,2.257,0.020999908447265625
305,2005-06,1.1390000581741333,0.0,4.228292574275186,3.736875684701575,0.3183634657284487,13.215470673110714,0.0,74.81222222222222,0.0,0.0,0.0,2.218,-0.045999884605407715
306,2005-07,1.1649999618530271,15.0,8.315223875997393,7.838724421169656,0.3417704512547452,6.250000232351629,0.0,76.79247311827957,0.0,0.0,0.0,2.357,0.02599990367889382
307,2005-08,1.1660000085830688,1833.0,12.212879923364609,11.736640586251385,0.3076715129329553,5.967474948644683,0.0,75.0010752688172,0.0,0.0,0.0,2.548,0.001000046730041726
308,2005-09,1.2790000438690186,119.0,10.28930079542044,9.825585447644622,0.2263207609313159,4.144710054667533,0.0,69.89555555555556,0.0,0.0,0.0,2.969,0.11300003528594971
309,2005-10,1.2640000581741333,35.0,10.309652415758563,9.852246888342531,0.2362390758892901,4.235429146300845,0.0,55.21720430107527,0.0,0.0,0.0,2.83,-0.014999985694885254
310,2005-11,1.2790000438690186,0.0,0.0,0.0,0.2158443151736715,4.822771417161724,0.0,43.21333333333333,0.0,0.0,0.0,2.387,0.014999985694885254
311,2005-12,1.350000023841858,0.0,0.0,0.0,0.2763175539209677,5.145572010211192,0.0,25.084946236559137,0.0,0.0,0.0,2.23,0.07099997997283936
312,2006-01,1.4490000009536743,0.1944444444444444,2.844909403533605,2.41485913976728,0.3266103343195193,8.36391825205862,0.0,36.744086021505375,0.0,0.0,342.0,2.359,0.0989999771118164
313,2006-02,1.3279999494552612,0.1944444444444444,2.844909403533605,2.41485913976728,0.2691608898170865,5.726397930858516,0.0,28.47142857142857,0.0,0.0,0.0,2.354,-0.12100005149841309
314,2006-03,1.3020000457763672,10.194444444444445,7.7813090121879505,7.323366424795306,0.2824288756896647,6.801828756192759,0.0,39.31075268817204,0.0,0.0,0.0,2.444,-0.025999903678894043
315,2006-04,1.2829999923706057,37.19444444444444,8.795613736915895,8.344052538546103,0.4165966824885078,12.73643567188656,0.0,55.12222222222223,0.0,0.0,0.0,2.801,-0.019000053405761497
316,2006-05,1.2059999704360962,0.1944444444444444,5.64229117835716,5.1806397778694615,0.4364320076913273,14.84204543079506,0.0,61.0258064516129,0.0,0.0,0.0,2.993,-0.0770000219345095
317,2006-06,1.2419999837875366,20.194444444444443,7.878764601071533,7.438028467300226,0.3958137727515243,7.67140761256556,0.0,70.17555555555555,0.0,0.0,0.0,2.963,0.03600001335144043
318,2006-07,1.2130000591278076,0.1944444444444444,5.64229117835716,5.1806397778694615,0.3820631347089528,6.712916305456426,0.0,76.98494623655914,0.0,0.0,0.0,3.046,-0.028999924659729004
319,2006-08,1.24399995803833,1.1944444444444444,7.285306607140159,6.842466102728764,0.3850919134704095,9.26899492596603,0.0,74.84301075268817,0.0,0.0,0.0,3.033,0.03099989891052246
320,2006-09,1.253999948501587,0.1944444444444444,2.844909403533605,2.41485913976728,0.2408751768689196,4.0948780067716335,0.0,62.822222222222216,0.0,0.0,0.0,2.637,0.009999990463256836
